time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1767983521.94868231,0.00701902,12643,0.00104978,0.00000000,0,0.00000000,568,626,262,0.00000000
1767983522.04964328,0.00713822,12771,0.00029668,0.00000000,0,0.00000000,626,677,183,0.00234849
1767983522.14907432,0.00707206,12654,0.00014002,0.00000000,0,0.00000000,677,655,114,0.00235993
1767983522.24994206,0.00739747,12769,0.00041930,0.00000000,0,0.00000000,655,670,96,0.00186247
1767983522.34962630,0.00436084,12635,0.00009253,0.00000000,0,0.00000000,670,692,85,0.00178596
1767983522.44899654,0.00694704,12642,0.00024446,0.00000000,0,0.00000000,692,703,52,0.00153691
1767983522.54996991,0.00807534,12784,0.00024160,0.00000000,0,0.00000000,703,699,47,0.00071252
1767983522.64943480,0.00753638,12621,0.00029080,0.00000000,0,0.00000000,699,658,42,0.00145484
1767983522.74893117,0.00693413,12624,0.00014515,0.00000000,0,0.00000000,658,676,34,0.00101250
1767983522.84980369,0.00730159,12775,0.00013798,0.00000000,0,0.00000000,676,678,25,0.00099859
1767983522.94936562,0.00919644,12648,0.00016598,0.00000000,0,0.00000000,678,684,33,0.00178313
1767983523.04885530,0.00638058,12652,0.00020177,0.00000000,0,0.00000000,684,695,54,0.00100974
1767983523.14971113,0.00729864,12777,0.00028571,0.00000000,0,0.00000000,695,701,50,0.00124249
1767983523.24927688,0.00708994,12653,0.00018950,0.00000000,0,0.00000000,701,707,37,0.00100277
1767983523.34902716,0.00715298,12638,0.00022002,0.00000000,0,0.00000000,707,707,41,0.00125343
1767983523.44965458,0.00720444,12777,0.00020308,0.00000000,0,0.00000000,707,702,37,0.00064398
1767983523.54921937,0.00203119,12634,0.00006032,0.00000000,0,0.00000000,702,689,38,0.00231971
1767983523.64870143,0.00710636,12654,0.00013156,0.00000000,0,0.00000000,689,713,30,0.00097953
1767983523.74961948,0.00677487,12762,0.00011448,0.00000000,0,0.00000000,713,724,24,0.00135750
1767983523.84913659,0.00654697,12652,0.00002308,0.00000000,0,0.00000000,724,733,19,0.00098456
1767983523.94865155,0.00670175,12646,0.00010895,0.00000000,0,0.00000000,733,724,16,0.00032217
1767983524.04952669,0.00781072,12790,0.00012293,0.00000000,0,0.00000000,724,720,22,0.00096068
1767983524.14906573,0.00720366,12644,0.00014297,0.00000000,0,0.00000000,720,725,28,0.00178540
1767983524.24988317,0.00866197,12795,0.00018206,0.00000000,0,0.00000000,725,710,14,0.00099772
1767983524.34918499,0.00821205,12653,0.00003092,0.00000000,0,0.00000000,710,726,22,0.00104600
1767983524.44899583,0.00705070,12645,0.00014003,0.00000000,0,0.00000000,726,718,19,0.00170128
1767983524.54981828,0.00667592,12784,0.00005689,0.00000000,0,0.00000000,718,728,10,0.00100870
1767983524.64938498,0.00711592,12643,0.00011895,0.00000000,0,0.00000000,728,713,15,0.00167159
1767983524.74887705,0.00671060,12662,0.00009442,0.00000000,0,0.00000000,713,722,18,0.00100112
1767983524.84974575,0.00776181,12774,0.00008570,0.00000000,0,0.00000000,722,738,19,0.00109950
1767983524.94931245,0.00669759,12626,0.00012832,0.00000000,0,0.00000000,738,723,16,0.00137018
1767983525.04880142,0.00688659,12644,0.00008177,0.00000000,0,0.00000000,723,721,12,0.00112754
1767983525.14967108,0.00678921,12775,0.00010632,0.00000000,0,0.00000000,721,699,11,0.00104127
1767983525.24919868,0.00306159,12646,0.00003715,0.00000000,0,0.00000000,699,708,15,0.00171180
1767983525.34873295,0.00761889,12643,0.00008852,0.00000000,0,0.00000000,708,720,16,0.00105434
1767983525.44965816,0.00709747,12776,0.00013266,0.00000000,0,0.00000000,720,708,20,0.00101652
1767983525.54916573,0.00671064,12628,0.00013222,0.00000000,0,0.00000000,708,712,22,0.00100238
